Data	Ano	Número do Mês	Mês	MMM-YYYY	Número do dia da semana	Dia da Semana	Semana	FY	Semana FY
24/06/2021 00:00:00	2021	6	junho	jun-2021	5	quinta-feira	26	2022	4
25/06/2021 00:00:00	2021	6	junho	jun-2021	6	sexta-feira	26	2022	4
26/06/2021 00:00:00	2021	6	junho	jun-2021	7	sábado	26	2022	4
27/06/2021 00:00:00	2021	6	junho	jun-2021	1	domingo	27	2022	5
28/06/2021 00:00:00	2021	6	junho	jun-2021	2	segunda-feira	27	2022	5
29/06/2021 00:00:00	2021	6	junho	jun-2021	3	terça-feira	27	2022	5
30/06/2021 00:00:00	2021	6	junho	jun-2021	4	quarta-feira	27	2022	5
01/07/2021 00:00:00	2021	7	julho	jul-2021	5	quinta-feira	27	2022	5
02/07/2021 00:00:00	2021	7	julho	jul-2021	6	sexta-feira	27	2022	5
03/07/2021 00:00:00	2021	7	julho	jul-2021	7	sábado	27	2022	5
04/07/2021 00:00:00	2021	7	julho	jul-2021	1	domingo	28	2022	6
05/07/2021 00:00:00	2021	7	julho	jul-2021	2	segunda-feira	28	2022	6
06/07/2021 00:00:00	2021	7	julho	jul-2021	3	terça-feira	28	2022	6
07/07/2021 00:00:00	2021	7	julho	jul-2021	4	quarta-feira	28	2022	6
08/07/2021 00:00:00	2021	7	julho	jul-2021	5	quinta-feira	28	2022	6
09/07/2021 00:00:00	2021	7	julho	jul-2021	6	sexta-feira	28	2022	6
10/07/2021 00:00:00	2021	7	julho	jul-2021	7	sábado	28	2022	6
11/07/2021 00:00:00	2021	7	julho	jul-2021	1	domingo	29	2022	7
12/07/2021 00:00:00	2021	7	julho	jul-2021	2	segunda-feira	29	2022	7
13/07/2021 00:00:00	2021	7	julho	jul-2021	3	terça-feira	29	2022	7
14/07/2021 00:00:00	2021	7	julho	jul-2021	4	quarta-feira	29	2022	7
15/07/2021 00:00:00	2021	7	julho	jul-2021	5	quinta-feira	29	2022	7
16/07/2021 00:00:00	2021	7	julho	jul-2021	6	sexta-feira	29	2022	7
17/07/2021 00:00:00	2021	7	julho	jul-2021	7	sábado	29	2022	7
18/07/2021 00:00:00	2021	7	julho	jul-2021	1	domingo	30	2022	8
19/07/2021 00:00:00	2021	7	julho	jul-2021	2	segunda-feira	30	2022	8
20/07/2021 00:00:00	2021	7	julho	jul-2021	3	terça-feira	30	2022	8
21/07/2021 00:00:00	2021	7	julho	jul-2021	4	quarta-feira	30	2022	8
22/07/2021 00:00:00	2021	7	julho	jul-2021	5	quinta-feira	30	2022	8
23/07/2021 00:00:00	2021	7	julho	jul-2021	6	sexta-feira	30	2022	8
24/07/2021 00:00:00	2021	7	julho	jul-2021	7	sábado	30	2022	8
25/07/2021 00:00:00	2021	7	julho	jul-2021	1	domingo	31	2022	9
26/07/2021 00:00:00	2021	7	julho	jul-2021	2	segunda-feira	31	2022	9
27/07/2021 00:00:00	2021	7	julho	jul-2021	3	terça-feira	31	2022	9
28/07/2021 00:00:00	2021	7	julho	jul-2021	4	quarta-feira	31	2022	9
29/07/2021 00:00:00	2021	7	julho	jul-2021	5	quinta-feira	31	2022	9
30/07/2021 00:00:00	2021	7	julho	jul-2021	6	sexta-feira	31	2022	9
31/07/2021 00:00:00	2021	7	julho	jul-2021	7	sábado	31	2022	9
01/08/2021 00:00:00	2021	8	agosto	ago-2021	1	domingo	32	2022	10
02/08/2021 00:00:00	2021	8	agosto	ago-2021	2	segunda-feira	32	2022	10
03/08/2021 00:00:00	2021	8	agosto	ago-2021	3	terça-feira	32	2022	10
04/08/2021 00:00:00	2021	8	agosto	ago-2021	4	quarta-feira	32	2022	10
05/08/2021 00:00:00	2021	8	agosto	ago-2021	5	quinta-feira	32	2022	10
06/08/2021 00:00:00	2021	8	agosto	ago-2021	6	sexta-feira	32	2022	10
07/08/2021 00:00:00	2021	8	agosto	ago-2021	7	sábado	32	2022	10
08/08/2021 00:00:00	2021	8	agosto	ago-2021	1	domingo	33	2022	11
09/08/2021 00:00:00	2021	8	agosto	ago-2021	2	segunda-feira	33	2022	11
10/08/2021 00:00:00	2021	8	agosto	ago-2021	3	terça-feira	33	2022	11
11/08/2021 00:00:00	2021	8	agosto	ago-2021	4	quarta-feira	33	2022	11
12/08/2021 00:00:00	2021	8	agosto	ago-2021	5	quinta-feira	33	2022	11
13/08/2021 00:00:00	2021	8	agosto	ago-2021	6	sexta-feira	33	2022	11
14/08/2021 00:00:00	2021	8	agosto	ago-2021	7	sábado	33	2022	11
15/08/2021 00:00:00	2021	8	agosto	ago-2021	1	domingo	34	2022	12
16/08/2021 00:00:00	2021	8	agosto	ago-2021	2	segunda-feira	34	2022	12
17/08/2021 00:00:00	2021	8	agosto	ago-2021	3	terça-feira	34	2022	12
18/08/2021 00:00:00	2021	8	agosto	ago-2021	4	quarta-feira	34	2022	12
19/08/2021 00:00:00	2021	8	agosto	ago-2021	5	quinta-feira	34	2022	12
20/08/2021 00:00:00	2021	8	agosto	ago-2021	6	sexta-feira	34	2022	12
21/08/2021 00:00:00	2021	8	agosto	ago-2021	7	sábado	34	2022	12
22/08/2021 00:00:00	2021	8	agosto	ago-2021	1	domingo	35	2022	13
23/08/2021 00:00:00	2021	8	agosto	ago-2021	2	segunda-feira	35	2022	13
24/08/2021 00:00:00	2021	8	agosto	ago-2021	3	terça-feira	35	2022	13
25/08/2021 00:00:00	2021	8	agosto	ago-2021	4	quarta-feira	35	2022	13
26/08/2021 00:00:00	2021	8	agosto	ago-2021	5	quinta-feira	35	2022	13
27/08/2021 00:00:00	2021	8	agosto	ago-2021	6	sexta-feira	35	2022	13
28/08/2021 00:00:00	2021	8	agosto	ago-2021	7	sábado	35	2022	13
29/08/2021 00:00:00	2021	8	agosto	ago-2021	1	domingo	36	2022	14
30/08/2021 00:00:00	2021	8	agosto	ago-2021	2	segunda-feira	36	2022	14
31/08/2021 00:00:00	2021	8	agosto	ago-2021	3	terça-feira	36	2022	14
01/09/2021 00:00:00	2021	9	setembro	set-2021	4	quarta-feira	36	2022	14
02/09/2021 00:00:00	2021	9	setembro	set-2021	5	quinta-feira	36	2022	14
03/09/2021 00:00:00	2021	9	setembro	set-2021	6	sexta-feira	36	2022	14
04/09/2021 00:00:00	2021	9	setembro	set-2021	7	sábado	36	2022	14
05/09/2021 00:00:00	2021	9	setembro	set-2021	1	domingo	37	2022	15
06/09/2021 00:00:00	2021	9	setembro	set-2021	2	segunda-feira	37	2022	15
07/09/2021 00:00:00	2021	9	setembro	set-2021	3	terça-feira	37	2022	15
08/09/2021 00:00:00	2021	9	setembro	set-2021	4	quarta-feira	37	2022	15
09/09/2021 00:00:00	2021	9	setembro	set-2021	5	quinta-feira	37	2022	15
10/09/2021 00:00:00	2021	9	setembro	set-2021	6	sexta-feira	37	2022	15
11/09/2021 00:00:00	2021	9	setembro	set-2021	7	sábado	37	2022	15
12/09/2021 00:00:00	2021	9	setembro	set-2021	1	domingo	38	2022	16
13/09/2021 00:00:00	2021	9	setembro	set-2021	2	segunda-feira	38	2022	16
14/09/2021 00:00:00	2021	9	setembro	set-2021	3	terça-feira	38	2022	16
15/09/2021 00:00:00	2021	9	setembro	set-2021	4	quarta-feira	38	2022	16
16/09/2021 00:00:00	2021	9	setembro	set-2021	5	quinta-feira	38	2022	16
17/09/2021 00:00:00	2021	9	setembro	set-2021	6	sexta-feira	38	2022	16
18/09/2021 00:00:00	2021	9	setembro	set-2021	7	sábado	38	2022	16
19/09/2021 00:00:00	2021	9	setembro	set-2021	1	domingo	39	2022	17
20/09/2021 00:00:00	2021	9	setembro	set-2021	2	segunda-feira	39	2022	17
21/09/2021 00:00:00	2021	9	setembro	set-2021	3	terça-feira	39	2022	17
22/09/2021 00:00:00	2021	9	setembro	set-2021	4	quarta-feira	39	2022	17
23/09/2021 00:00:00	2021	9	setembro	set-2021	5	quinta-feira	39	2022	17
24/09/2021 00:00:00	2021	9	setembro	set-2021	6	sexta-feira	39	2022	17
25/09/2021 00:00:00	2021	9	setembro	set-2021	7	sábado	39	2022	17
26/09/2021 00:00:00	2021	9	setembro	set-2021	1	domingo	40	2022	18
27/09/2021 00:00:00	2021	9	setembro	set-2021	2	segunda-feira	40	2022	18
28/09/2021 00:00:00	2021	9	setembro	set-2021	3	terça-feira	40	2022	18
29/09/2021 00:00:00	2021	9	setembro	set-2021	4	quarta-feira	40	2022	18
30/09/2021 00:00:00	2021	9	setembro	set-2021	5	quinta-feira	40	2022	18
01/10/2021 00:00:00	2021	10	outubro	out-2021	6	sexta-feira	40	2022	18
02/10/2021 00:00:00	2021	10	outubro	out-2021	7	sábado	40	2022	18
03/10/2021 00:00:00	2021	10	outubro	out-2021	1	domingo	41	2022	19
04/10/2021 00:00:00	2021	10	outubro	out-2021	2	segunda-feira	41	2022	19
05/10/2021 00:00:00	2021	10	outubro	out-2021	3	terça-feira	41	2022	19
06/10/2021 00:00:00	2021	10	outubro	out-2021	4	quarta-feira	41	2022	19
07/10/2021 00:00:00	2021	10	outubro	out-2021	5	quinta-feira	41	2022	19
08/10/2021 00:00:00	2021	10	outubro	out-2021	6	sexta-feira	41	2022	19
09/10/2021 00:00:00	2021	10	outubro	out-2021	7	sábado	41	2022	19
10/10/2021 00:00:00	2021	10	outubro	out-2021	1	domingo	42	2022	20
11/10/2021 00:00:00	2021	10	outubro	out-2021	2	segunda-feira	42	2022	20
12/10/2021 00:00:00	2021	10	outubro	out-2021	3	terça-feira	42	2022	20
13/10/2021 00:00:00	2021	10	outubro	out-2021	4	quarta-feira	42	2022	20
14/10/2021 00:00:00	2021	10	outubro	out-2021	5	quinta-feira	42	2022	20
15/10/2021 00:00:00	2021	10	outubro	out-2021	6	sexta-feira	42	2022	20
16/10/2021 00:00:00	2021	10	outubro	out-2021	7	sábado	42	2022	20
17/10/2021 00:00:00	2021	10	outubro	out-2021	1	domingo	43	2022	21
18/10/2021 00:00:00	2021	10	outubro	out-2021	2	segunda-feira	43	2022	21
19/10/2021 00:00:00	2021	10	outubro	out-2021	3	terça-feira	43	2022	21
20/10/2021 00:00:00	2021	10	outubro	out-2021	4	quarta-feira	43	2022	21
21/10/2021 00:00:00	2021	10	outubro	out-2021	5	quinta-feira	43	2022	21
22/10/2021 00:00:00	2021	10	outubro	out-2021	6	sexta-feira	43	2022	21
23/10/2021 00:00:00	2021	10	outubro	out-2021	7	sábado	43	2022	21
24/10/2021 00:00:00	2021	10	outubro	out-2021	1	domingo	44	2022	22
25/10/2021 00:00:00	2021	10	outubro	out-2021	2	segunda-feira	44	2022	22
26/10/2021 00:00:00	2021	10	outubro	out-2021	3	terça-feira	44	2022	22
27/10/2021 00:00:00	2021	10	outubro	out-2021	4	quarta-feira	44	2022	22
28/10/2021 00:00:00	2021	10	outubro	out-2021	5	quinta-feira	44	2022	22
29/10/2021 00:00:00	2021	10	outubro	out-2021	6	sexta-feira	44	2022	22
30/10/2021 00:00:00	2021	10	outubro	out-2021	7	sábado	44	2022	22
31/10/2021 00:00:00	2021	10	outubro	out-2021	1	domingo	45	2022	23
01/11/2021 00:00:00	2021	11	novembro	nov-2021	2	segunda-feira	45	2022	23
02/11/2021 00:00:00	2021	11	novembro	nov-2021	3	terça-feira	45	2022	23
03/11/2021 00:00:00	2021	11	novembro	nov-2021	4	quarta-feira	45	2022	23
04/11/2021 00:00:00	2021	11	novembro	nov-2021	5	quinta-feira	45	2022	23
05/11/2021 00:00:00	2021	11	novembro	nov-2021	6	sexta-feira	45	2022	23
06/11/2021 00:00:00	2021	11	novembro	nov-2021	7	sábado	45	2022	23
07/11/2021 00:00:00	2021	11	novembro	nov-2021	1	domingo	46	2022	24
08/11/2021 00:00:00	2021	11	novembro	nov-2021	2	segunda-feira	46	2022	24
09/11/2021 00:00:00	2021	11	novembro	nov-2021	3	terça-feira	46	2022	24
10/11/2021 00:00:00	2021	11	novembro	nov-2021	4	quarta-feira	46	2022	24
11/11/2021 00:00:00	2021	11	novembro	nov-2021	5	quinta-feira	46	2022	24
12/11/2021 00:00:00	2021	11	novembro	nov-2021	6	sexta-feira	46	2022	24
13/11/2021 00:00:00	2021	11	novembro	nov-2021	7	sábado	46	2022	24
14/11/2021 00:00:00	2021	11	novembro	nov-2021	1	domingo	47	2022	25
15/11/2021 00:00:00	2021	11	novembro	nov-2021	2	segunda-feira	47	2022	25
16/11/2021 00:00:00	2021	11	novembro	nov-2021	3	terça-feira	47	2022	25
17/11/2021 00:00:00	2021	11	novembro	nov-2021	4	quarta-feira	47	2022	25
18/11/2021 00:00:00	2021	11	novembro	nov-2021	5	quinta-feira	47	2022	25
19/11/2021 00:00:00	2021	11	novembro	nov-2021	6	sexta-feira	47	2022	25
20/11/2021 00:00:00	2021	11	novembro	nov-2021	7	sábado	47	2022	25
21/11/2021 00:00:00	2021	11	novembro	nov-2021	1	domingo	48	2022	26
22/11/2021 00:00:00	2021	11	novembro	nov-2021	2	segunda-feira	48	2022	26
23/11/2021 00:00:00	2021	11	novembro	nov-2021	3	terça-feira	48	2022	26
24/11/2021 00:00:00	2021	11	novembro	nov-2021	4	quarta-feira	48	2022	26
25/11/2021 00:00:00	2021	11	novembro	nov-2021	5	quinta-feira	48	2022	26
26/11/2021 00:00:00	2021	11	novembro	nov-2021	6	sexta-feira	48	2022	26
27/11/2021 00:00:00	2021	11	novembro	nov-2021	7	sábado	48	2022	26
28/11/2021 00:00:00	2021	11	novembro	nov-2021	1	domingo	49	2022	27
29/11/2021 00:00:00	2021	11	novembro	nov-2021	2	segunda-feira	49	2022	27
30/11/2021 00:00:00	2021	11	novembro	nov-2021	3	terça-feira	49	2022	27
01/12/2021 00:00:00	2021	12	dezembro	dez-2021	4	quarta-feira	49	2022	27
02/12/2021 00:00:00	2021	12	dezembro	dez-2021	5	quinta-feira	49	2022	27
03/12/2021 00:00:00	2021	12	dezembro	dez-2021	6	sexta-feira	49	2022	27
04/12/2021 00:00:00	2021	12	dezembro	dez-2021	7	sábado	49	2022	27
05/12/2021 00:00:00	2021	12	dezembro	dez-2021	1	domingo	50	2022	28
06/12/2021 00:00:00	2021	12	dezembro	dez-2021	2	segunda-feira	50	2022	28
07/12/2021 00:00:00	2021	12	dezembro	dez-2021	3	terça-feira	50	2022	28
08/12/2021 00:00:00	2021	12	dezembro	dez-2021	4	quarta-feira	50	2022	28
09/12/2021 00:00:00	2021	12	dezembro	dez-2021	5	quinta-feira	50	2022	28
10/12/2021 00:00:00	2021	12	dezembro	dez-2021	6	sexta-feira	50	2022	28
11/12/2021 00:00:00	2021	12	dezembro	dez-2021	7	sábado	50	2022	28
12/12/2021 00:00:00	2021	12	dezembro	dez-2021	1	domingo	51	2022	29
13/12/2021 00:00:00	2021	12	dezembro	dez-2021	2	segunda-feira	51	2022	29
14/12/2021 00:00:00	2021	12	dezembro	dez-2021	3	terça-feira	51	2022	29
15/12/2021 00:00:00	2021	12	dezembro	dez-2021	4	quarta-feira	51	2022	29
16/12/2021 00:00:00	2021	12	dezembro	dez-2021	5	quinta-feira	51	2022	29
17/12/2021 00:00:00	2021	12	dezembro	dez-2021	6	sexta-feira	51	2022	29
18/12/2021 00:00:00	2021	12	dezembro	dez-2021	7	sábado	51	2022	29
19/12/2021 00:00:00	2021	12	dezembro	dez-2021	1	domingo	52	2022	30
20/12/2021 00:00:00	2021	12	dezembro	dez-2021	2	segunda-feira	52	2022	30
21/12/2021 00:00:00	2021	12	dezembro	dez-2021	3	terça-feira	52	2022	30
22/12/2021 00:00:00	2021	12	dezembro	dez-2021	4	quarta-feira	52	2022	30
23/12/2021 00:00:00	2021	12	dezembro	dez-2021	5	quinta-feira	52	2022	30
24/12/2021 00:00:00	2021	12	dezembro	dez-2021	6	sexta-feira	52	2022	30
25/12/2021 00:00:00	2021	12	dezembro	dez-2021	7	sábado	52	2022	30
26/12/2021 00:00:00	2021	12	dezembro	dez-2021	1	domingo	53	2022	31
27/12/2021 00:00:00	2021	12	dezembro	dez-2021	2	segunda-feira	53	2022	31
28/12/2021 00:00:00	2021	12	dezembro	dez-2021	3	terça-feira	53	2022	31
29/12/2021 00:00:00	2021	12	dezembro	dez-2021	4	quarta-feira	53	2022	31
30/12/2021 00:00:00	2021	12	dezembro	dez-2021	5	quinta-feira	53	2022	31
31/12/2021 00:00:00	2021	12	dezembro	dez-2021	6	sexta-feira	53	2022	31
01/01/2022 00:00:00	2022	1	janeiro	jan-2022	7	sábado	1	2022	31
02/01/2022 00:00:00	2022	1	janeiro	jan-2022	1	domingo	2	2022	32
03/01/2022 00:00:00	2022	1	janeiro	jan-2022	2	segunda-feira	2	2022	32
04/01/2022 00:00:00	2022	1	janeiro	jan-2022	3	terça-feira	2	2022	32
05/01/2022 00:00:00	2022	1	janeiro	jan-2022	4	quarta-feira	2	2022	32
06/01/2022 00:00:00	2022	1	janeiro	jan-2022	5	quinta-feira	2	2022	32
07/01/2022 00:00:00	2022	1	janeiro	jan-2022	6	sexta-feira	2	2022	32
08/01/2022 00:00:00	2022	1	janeiro	jan-2022	7	sábado	2	2022	32
09/01/2022 00:00:00	2022	1	janeiro	jan-2022	1	domingo	3	2022	33
10/01/2022 00:00:00	2022	1	janeiro	jan-2022	2	segunda-feira	3	2022	33
11/01/2022 00:00:00	2022	1	janeiro	jan-2022	3	terça-feira	3	2022	33
12/01/2022 00:00:00	2022	1	janeiro	jan-2022	4	quarta-feira	3	2022	33
13/01/2022 00:00:00	2022	1	janeiro	jan-2022	5	quinta-feira	3	2022	33
14/01/2022 00:00:00	2022	1	janeiro	jan-2022	6	sexta-feira	3	2022	33
15/01/2022 00:00:00	2022	1	janeiro	jan-2022	7	sábado	3	2022	33
16/01/2022 00:00:00	2022	1	janeiro	jan-2022	1	domingo	4	2022	34
17/01/2022 00:00:00	2022	1	janeiro	jan-2022	2	segunda-feira	4	2022	34
18/01/2022 00:00:00	2022	1	janeiro	jan-2022	3	terça-feira	4	2022	34
19/01/2022 00:00:00	2022	1	janeiro	jan-2022	4	quarta-feira	4	2022	34
20/01/2022 00:00:00	2022	1	janeiro	jan-2022	5	quinta-feira	4	2022	34
21/01/2022 00:00:00	2022	1	janeiro	jan-2022	6	sexta-feira	4	2022	34
22/01/2022 00:00:00	2022	1	janeiro	jan-2022	7	sábado	4	2022	34
23/01/2022 00:00:00	2022	1	janeiro	jan-2022	1	domingo	5	2022	35
24/01/2022 00:00:00	2022	1	janeiro	jan-2022	2	segunda-feira	5	2022	35
25/01/2022 00:00:00	2022	1	janeiro	jan-2022	3	terça-feira	5	2022	35
26/01/2022 00:00:00	2022	1	janeiro	jan-2022	4	quarta-feira	5	2022	35
27/01/2022 00:00:00	2022	1	janeiro	jan-2022	5	quinta-feira	5	2022	35
28/01/2022 00:00:00	2022	1	janeiro	jan-2022	6	sexta-feira	5	2022	35
29/01/2022 00:00:00	2022	1	janeiro	jan-2022	7	sábado	5	2022	35
30/01/2022 00:00:00	2022	1	janeiro	jan-2022	1	domingo	6	2022	36
31/01/2022 00:00:00	2022	1	janeiro	jan-2022	2	segunda-feira	6	2022	36
01/02/2022 00:00:00	2022	2	fevereiro	fev-2022	3	terça-feira	6	2022	36
02/02/2022 00:00:00	2022	2	fevereiro	fev-2022	4	quarta-feira	6	2022	36
03/02/2022 00:00:00	2022	2	fevereiro	fev-2022	5	quinta-feira	6	2022	36
04/02/2022 00:00:00	2022	2	fevereiro	fev-2022	6	sexta-feira	6	2022	36
05/02/2022 00:00:00	2022	2	fevereiro	fev-2022	7	sábado	6	2022	36
06/02/2022 00:00:00	2022	2	fevereiro	fev-2022	1	domingo	7	2022	37
07/02/2022 00:00:00	2022	2	fevereiro	fev-2022	2	segunda-feira	7	2022	37
08/02/2022 00:00:00	2022	2	fevereiro	fev-2022	3	terça-feira	7	2022	37
09/02/2022 00:00:00	2022	2	fevereiro	fev-2022	4	quarta-feira	7	2022	37
10/02/2022 00:00:00	2022	2	fevereiro	fev-2022	5	quinta-feira	7	2022	37
11/02/2022 00:00:00	2022	2	fevereiro	fev-2022	6	sexta-feira	7	2022	37
12/02/2022 00:00:00	2022	2	fevereiro	fev-2022	7	sábado	7	2022	37
13/02/2022 00:00:00	2022	2	fevereiro	fev-2022	1	domingo	8	2022	38
14/02/2022 00:00:00	2022	2	fevereiro	fev-2022	2	segunda-feira	8	2022	38
15/02/2022 00:00:00	2022	2	fevereiro	fev-2022	3	terça-feira	8	2022	38
16/02/2022 00:00:00	2022	2	fevereiro	fev-2022	4	quarta-feira	8	2022	38
17/02/2022 00:00:00	2022	2	fevereiro	fev-2022	5	quinta-feira	8	2022	38
18/02/2022 00:00:00	2022	2	fevereiro	fev-2022	6	sexta-feira	8	2022	38
19/02/2022 00:00:00	2022	2	fevereiro	fev-2022	7	sábado	8	2022	38
20/02/2022 00:00:00	2022	2	fevereiro	fev-2022	1	domingo	9	2022	39
21/02/2022 00:00:00	2022	2	fevereiro	fev-2022	2	segunda-feira	9	2022	39
22/02/2022 00:00:00	2022	2	fevereiro	fev-2022	3	terça-feira	9	2022	39
23/02/2022 00:00:00	2022	2	fevereiro	fev-2022	4	quarta-feira	9	2022	39
24/02/2022 00:00:00	2022	2	fevereiro	fev-2022	5	quinta-feira	9	2022	39
25/02/2022 00:00:00	2022	2	fevereiro	fev-2022	6	sexta-feira	9	2022	39
26/02/2022 00:00:00	2022	2	fevereiro	fev-2022	7	sábado	9	2022	39
27/02/2022 00:00:00	2022	2	fevereiro	fev-2022	1	domingo	10	2022	40
28/02/2022 00:00:00	2022	2	fevereiro	fev-2022	2	segunda-feira	10	2022	40
01/03/2022 00:00:00	2022	3	março	mar-2022	3	terça-feira	10	2022	40
02/03/2022 00:00:00	2022	3	março	mar-2022	4	quarta-feira	10	2022	40
03/03/2022 00:00:00	2022	3	março	mar-2022	5	quinta-feira	10	2022	40
04/03/2022 00:00:00	2022	3	março	mar-2022	6	sexta-feira	10	2022	40
05/03/2022 00:00:00	2022	3	março	mar-2022	7	sábado	10	2022	40
06/03/2022 00:00:00	2022	3	março	mar-2022	1	domingo	11	2022	41
07/03/2022 00:00:00	2022	3	março	mar-2022	2	segunda-feira	11	2022	41
08/03/2022 00:00:00	2022	3	março	mar-2022	3	terça-feira	11	2022	41
09/03/2022 00:00:00	2022	3	março	mar-2022	4	quarta-feira	11	2022	41
10/03/2022 00:00:00	2022	3	março	mar-2022	5	quinta-feira	11	2022	41
11/03/2022 00:00:00	2022	3	março	mar-2022	6	sexta-feira	11	2022	41
12/03/2022 00:00:00	2022	3	março	mar-2022	7	sábado	11	2022	41
13/03/2022 00:00:00	2022	3	março	mar-2022	1	domingo	12	2022	42
14/03/2022 00:00:00	2022	3	março	mar-2022	2	segunda-feira	12	2022	42
15/03/2022 00:00:00	2022	3	março	mar-2022	3	terça-feira	12	2022	42
16/03/2022 00:00:00	2022	3	março	mar-2022	4	quarta-feira	12	2022	42
17/03/2022 00:00:00	2022	3	março	mar-2022	5	quinta-feira	12	2022	42
18/03/2022 00:00:00	2022	3	março	mar-2022	6	sexta-feira	12	2022	42
19/03/2022 00:00:00	2022	3	março	mar-2022	7	sábado	12	2022	42
20/03/2022 00:00:00	2022	3	março	mar-2022	1	domingo	13	2022	43
21/03/2022 00:00:00	2022	3	março	mar-2022	2	segunda-feira	13	2022	43
22/03/2022 00:00:00	2022	3	março	mar-2022	3	terça-feira	13	2022	43
23/03/2022 00:00:00	2022	3	março	mar-2022	4	quarta-feira	13	2022	43
24/03/2022 00:00:00	2022	3	março	mar-2022	5	quinta-feira	13	2022	43
25/03/2022 00:00:00	2022	3	março	mar-2022	6	sexta-feira	13	2022	43
26/03/2022 00:00:00	2022	3	março	mar-2022	7	sábado	13	2022	43
27/03/2022 00:00:00	2022	3	março	mar-2022	1	domingo	14	2022	44
28/03/2022 00:00:00	2022	3	março	mar-2022	2	segunda-feira	14	2022	44
29/03/2022 00:00:00	2022	3	março	mar-2022	3	terça-feira	14	2022	44
30/03/2022 00:00:00	2022	3	março	mar-2022	4	quarta-feira	14	2022	44
31/03/2022 00:00:00	2022	3	março	mar-2022	5	quinta-feira	14	2022	44
01/04/2022 00:00:00	2022	4	abril	abr-2022	6	sexta-feira	14	2022	44
02/04/2022 00:00:00	2022	4	abril	abr-2022	7	sábado	14	2022	44
03/04/2022 00:00:00	2022	4	abril	abr-2022	1	domingo	15	2022	45
04/04/2022 00:00:00	2022	4	abril	abr-2022	2	segunda-feira	15	2022	45
05/04/2022 00:00:00	2022	4	abril	abr-2022	3	terça-feira	15	2022	45
06/04/2022 00:00:00	2022	4	abril	abr-2022	4	quarta-feira	15	2022	45
07/04/2022 00:00:00	2022	4	abril	abr-2022	5	quinta-feira	15	2022	45
08/04/2022 00:00:00	2022	4	abril	abr-2022	6	sexta-feira	15	2022	45
09/04/2022 00:00:00	2022	4	abril	abr-2022	7	sábado	15	2022	45
10/04/2022 00:00:00	2022	4	abril	abr-2022	1	domingo	16	2022	46
11/04/2022 00:00:00	2022	4	abril	abr-2022	2	segunda-feira	16	2022	46
12/04/2022 00:00:00	2022	4	abril	abr-2022	3	terça-feira	16	2022	46
13/04/2022 00:00:00	2022	4	abril	abr-2022	4	quarta-feira	16	2022	46
14/04/2022 00:00:00	2022	4	abril	abr-2022	5	quinta-feira	16	2022	46
15/04/2022 00:00:00	2022	4	abril	abr-2022	6	sexta-feira	16	2022	46
16/04/2022 00:00:00	2022	4	abril	abr-2022	7	sábado	16	2022	46
17/04/2022 00:00:00	2022	4	abril	abr-2022	1	domingo	17	2022	47
18/04/2022 00:00:00	2022	4	abril	abr-2022	2	segunda-feira	17	2022	47
19/04/2022 00:00:00	2022	4	abril	abr-2022	3	terça-feira	17	2022	47
20/04/2022 00:00:00	2022	4	abril	abr-2022	4	quarta-feira	17	2022	47
